Id;Organization;Name;ProjectArea;InternalCost;ExternalCost;OtherCost;TotalCost;Stimulus;Owner;Leader
24;Kommunförbundet Skåne;Axel test;> administration;1192500;0;250000;1442000;0;;
25;Kommunförbundet Skåne;12 - Information på 1177;eTjänster för invånarna;1860000;0;40000;1900000;0;Niclas Bendroth Clausenborg;
28;Ale;Systemtest;eTjänster för invånarna;0;0;0;0;0;;
30;Ale;Projektnamn saknas;eTjänster för invånarna;0;0;0;0;0;Karin Bengtsson;
33;Ale;Projektnamn saknas;eTjänster för invånarna;0;0;0;0;0;Anette Bolinder;
35;Södertälje;Mobilt stöd i Södertälje;mobil dokumentation;25000;0;770000;795000;0;Gilda Johansson;
36;Västkom; Test e-Hälsa projekt;> administration;0;0;0;0;0;Christina Wisser;
37;Solna;Införande av NPÖ i Solna Stad;införande NPÖ-konsument;121000;103000;0;224000;0;Iréne Kallin;
38;Järfälla;Tidmätning i hemtjänsten;mobil dokumentation;351500;586000;0;937000;0;Jenny Wilhelmsson;Therese Thorell
39;Stockholm;Filip R Test idé - Projektplan NPÖ;införande NPÖ-konsument;165500;15000;180500000;180680000;0;Filip Rydman;
43;Västkom;14 - Västkom eHälsa 2013 huvudprojekt;> administration;5050000;250000;0;5300000;0;Karl Fors;
44;Sollentuna;Sollentuna Jämförelser Fritt Val;eTjänster för invånarna;180000;0;91000000;91180000;0;Kristina Brismark;Marianne Carlberger
46;Södertälje;NPÖ i Södertälje;införande NPÖ-konsument;174000;15000;186500000;186689000;0;Gilda Johansson;Lisa Mattsson
49;Österåker;E-tjänster i Österåkers kommun;eTjänster för invånarna;160000;40000;200000000;200200000;0;Sara Eriksson;
50;Österåker;Digitala trygghetslarm i Österåkers kommun;digitala trygghetslarm;175000;85000;260000;520000;0;Sara Eriksson;
52;Nacka;Digital nyckelhantering inom hemtjänsten i Nacka kommun;eTjänster för invånarna;358000;228000;472000000;472586000;0;Anne-Lie Söderlund;Gabriella Nyhäll
53;Sundbyberg;Införande av NPÖ i Sundbybergs stad;införande NPÖ-konsument;97500;0;43000;140000;0;Birgitta Fahlgren Sylvén;Ida Bäckström
54;Salem;Införande av NPÖ i Salem;införande NPÖ-konsument;86000;20000;43000;149000;0;Tove Bergek;
55;Salem;eTjänster för invånarna;eTjänster för invånarna;46500;0;10000;56000;0;Tove Bergek;
57;Stockholm;Mobilt stöd i Stockholm stad;mobil dokumentation;2380000;0;0;2380000;0;Eva Frunk Lind;Marita Åkersten
58;Lomma;1262 NPÖ Införande i Lomma kommun;införande NPÖ-konsument;260000;0;63000;323000;87000;Lotta Widén Odder;
59;Stockholm;Införande av NPÖ i Stockholm stad;införande NPÖ-konsument;200000;0;0;200000;0;AnnMarie Ståhl;
60;Stockholm;Digitala trygghetslarm/ GSM larm   i Stockholm stad;digitala trygghetslarm;250000;0;250000;500000;0;Marianne Silven-Hedenström;
61;Salem;Övergång till digitala trygghetslarm;digitala trygghetslarm;66000;10000;0;76000;0;Tove Bergek;
62;Sundbyberg;Digitala trygghetslarm i Sundbybergs stad;digitala trygghetslarm;65000;90000;0;155000;0;Birgitta Fahlgren Sylvén;Ida Bäckström
63;Haninge;Övergång till digitala trygghetslarm i Haninge kommun;digitala trygghetslarm;0;0;0;0;0;Ewa Kardell;Madeleine Carlström
65;Hörby;1266 Hörby Säker inloggning- dokumentation;Säker roll- och behörighetsidentifikation;69000;6000;20000;95000;50000;Rebecca Martinsson;
66;Landskrona;1282 Kartläggning av nuvarande behörighetsidentifikation och framtagande av en plan för hur en ökad mobil använding ska vara säker;Säker roll- och behörighetsidentifikation;25000;0;1000;26000;12000;Eva Klang Vänerklint;
67;Täby;Täby Test av enheter lämpliga för mobil dokumentation;eTjänster för invånarna;251000;20000;321000;592000;0;Susanna Kiesel;Kristina Molander
71;Landskrona;1282 Upphandling av digital larmhantering för ordinärt boende.;digitala trygghetslarm;122000;96000;0;218000;91000;Eva Klang Vänerklint;Fredrik Rehnqvist Müller
72;Landskrona;1282 mobil dokumentation för ssk;mobil dokumentation;40000;0;40000;80000;40000;Eva Klang Vänerklint;
73;Trelleborg;1287 - Trelleborg anslutning till NPÖ;införande NPÖ-konsument;312500;0;169000;481000;153000;Peter Lövgren;Marie Bergholtz
74;Botkyrka;Införande av NPÖ i Botkyrka kommun;införande NPÖ-konsument;176500;15000;15000000;15191000;0;Pamela Olave;
76;Täby;Öka användningen av SITHS kort för säker inloggning och hantering av medborgarens personuppgifter;Säker roll- och behörighetsidentifikation;625000;0;625000;1250000;0;Susanna Kiesel;Russel Green
78;Landskrona;1282 läkemedelsapp;mobil dokumentation;0;0;0;0;0;Eva Klang Vänerklint;Liselott Lindskog
79;Landskrona;1282 NPÖ;införande NPÖ-konsument;570000;100000;0;670000;153000;Eva Klang Vänerklint;Ulf Fredriksson
80;Danderyd;E-hälsa 2013 Danderyd;> administration;435000;0;0;435000;0;tenbrott1fÅsalie Forsström;
88;Kommunförbundet Skåne;1200 - Kvalitetssäkring SITHS/HSA;Säker roll- och behörighetsidentifikation;81000;0;0;81000;0;Niclas Bendroth Clausenborg;
92;Solna;Planeringsystem för hemtjänsten med mobilt arbetssätt;mobil dokumentation;260000;243000;330000;833000;0;Paulina Terävä;Susanna Landström
93;Nynäshamn;Nynäshamn Införande NPÖ;införande NPÖ-konsument;130000;20000;149000;299000;0;Kerstin Palomäki;Simon Lindgren
